M,one ,two,three,four,five,six,seven,eight,nine,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
23.3225,21.43,0,0.39,2.82,0.11,0,0,1.1,0,12.11,328.33,195,0,308,101,0,150,211.9,19.65
28.99875,28.04,0,0.39,4.87,0.11,0,0,1.44,0,12.11,330.83,195,0,402,101,0,150,210.8,19.65
11,10.37,0,0.32,1.2,0.03,0,0,0.38,0,14.6,310,195.83,0,226,57,0,140,148.05,28.5
170.05,123.01,0,2.13,8.53,0.79,0,0,5.2,0,11.2,287.5,294.83,0,760,226,0,250,562.96,31.95
15,20.86,0,1.1,2.69,0.34,0,0,1.91,0,9.2,280,195,0,308,157,0,150,241.9,35.8
45,41.96,0,1.1,11.2,0.34,0,0,3.9,0,9.2,280,195,0,628,157,0,150,238.65,35.8
46.55,47.01,0,0.61,13.29,0.18,0,0,3.1,0,7.85,293.33,204.17,0,603,101,0,150,265.8,29.65
12.8125,9.37,0,1.05,1.2,0.24,0,0,1.07,0,26.23,351.08,351.08,0,226,101,0,100,118.05,29.65
63.415,35.72,0,0.54,2.84,0.25,0,0,1.7,0,16.46,397.33,362.25,0,308,101,0,160,291.9,14.65
28.621125,18.57,0,2.7,1.73,1.29,0,0,2.99,0,21.92,385.4,479.85,0,226,157,0,100,213.21,35.8
71.988,15.47,44.75,3.01,1.04,1.04,8.72,6.03,2.08,6.03,23.64,279.17,279.17,1260,308,308,197.4,150,179.9,35
13.95,3.22,28.41,1.7,0.07,0.72,5.5,1.25,0.45,3.98,18.43,195.83,279.17,1244.9,101,226,140,150,163,26.95
13.23,3.22,28.41,1.7,0.07,0.72,5.5,1.25,0.45,3.98,18.43,195.83,279.17,1244.9,101,226,140,150,163,26.95
220.7,28.21,134.32,2.24,0.68,0.68,15.35,6.45,1.35,6.45,24.17,310,310,1200,226,226,278,150,402.64,31.95
218,28.21,134.32,2.24,0.59,0.59,13.46,5.65,1.19,5.65,27.57,310,310,1200,226,226,278,150,402.64,31.95
243.1,52.49,134.71,2.24,2.13,0.62,14.04,10.94,2.3,5.9,26.42,323.33,310,1200,402,226,278,150,403.81,31.95
228.9,52.49,134.71,2.24,2.21,0.64,14.57,11.35,2.38,6.12,25.46,323.33,310,1200,402,226,278,150,403.81,31.95
169,52.79,67.74,2.24,2.28,0.66,3.76,5.86,2.46,3.16,24.65,323.33,310,1200,402,226,139,150,406.14,31.95
174.4,51.91,66.61,3.46,1.99,0.58,3.28,5.12,2.15,2.76,28.24,323.33,310,1200,402,226,139,150,399.34,49.45
160.8,51.91,66.35,3.46,1.96,0.57,3.2,5.01,2.11,2.7,28.71,323.33,310,1195.24,402,226,139,150,399.34,49.45
158.1,51.91,66.35,3.46,1.81,0.53,2.96,4.63,1.95,2.49,31.11,323.33,310,1195.24,402,226,139,150,399.34,49.45
128,38.91,49.93,3.46,2.1,0.61,3.45,5.38,2.26,2.9,26.85,323.33,310,1200,402,226,139,150,299.34,49.45
128,38.91,49.93,3.46,2.03,0.59,3.34,5.2,2.18,2.8,27.81,323.33,310,1200,402,226,139,150,299.34,49.45
120,38.91,49.73,3.46,2.04,0.59,3.33,5.2,2.19,2.81,27.66,323.33,310,1195.24,402,226,139,150,299.34,49.45
122.1,38.91,49.73,3.46,2.11,0.61,3.45,5.39,2.27,2.91,26.7,323.33,310,1195.24,402,226,139,150,299.34,49.45
23.73,10.12,4.17,1.19,0.39,0.39,0.07,0.32,0.79,0.32,18.04,293.75,293.75,863.95,157,157,22,150,219.44,25.8
24.57,10.12,4.17,1.19,0.39,0.39,0.07,0.32,0.79,0.32,18.04,293.75,293.75,863.95,157,157,22,150,219.44,25.8
40.8,11.05,21.74,2.92,0.87,0.87,3.35,3.41,1.73,3.41,24.07,350,350,1111.56,226,226,140,150,139.69,36.95
57.8,15.9,29.72,2.14,0.86,0.86,3,3.21,1.72,3.21,24.55,351.67,351.67,1061.22,226,226,140,150,200.05,26.95
31.8,10.12,4.17,1.19,0.39,0.39,0.07,0.32,0.79,0.32,18.04,293.75,293.75,863.95,157,157,22,150,219.44,25.8
29.6,10.12,4.17,1.19,0.39,0.39,0.07,0.32,0.79,0.32,18.04,293.75,293.75,863.95,157,157,22,150,219.44,25.8
72.87,8.65,41.37,0.9,0.15,0.15,3.39,1.42,0.3,1.42,22.54,361.86,361.86,1257.82,101,101,139,200,236.61,24.65
82.3725,13.07,41.82,0.9,0.33,0.15,3.39,2.12,0.44,1.42,22.54,361.86,361.86,1257.82,151,101,139,200,239.22,24.65
